trID,trN,pIdx,X,Y,time,SPEED
100042_ 11,1,1,9.188828,45.391563,4/4/2007 4:00,0
100042_ 11,1,2,9.164247,45.38743,4/4/2007 4:03,84
100042_ 11,1,3,9.151388,45.391968,4/4/2007 4:04,82
100042_ 11,1,4,9.144397,45.394753,4/4/2007 4:04,60
100042_ 11,1,5,9.144089,45.400295,4/4/2007 4:05,78
100042_ 11,1,6,9.148028,45.407135,4/4/2007 4:05,86
100042_ 11,1,7,9.151852,45.413605,4/4/2007 4:06,78
100042_ 11,1,8,9.155796,45.4186,4/4/2007 4:06,44
100042_ 11,1,9,9.158669,45.418865,4/4/2007 4:07,20
100042_ 11,1,10,9.160234,45.42077,4/4/2007 4:08,32
100042_ 11,1,11,9.159545,45.422977,4/4/2007 4:08,34
100042_ 11,1,12,9.157616,45.42184,4/4/2007 4:09,32
100042_ 11,1,13,9.155639,45.420162,4/4/2007 4:09,14
100042_ 11,1,14,9.154951,45.41955,4/4/2007 4:10,0
100042_ 11,1,15,9.154947,45.419556,4/4/2007 4:21,0
100042_ 11,1,16,9.143563,45.403835,4/4/2007 4:24,36
100042_ 11,1,17,9.120989,45.4061,4/4/2007 4:29,32
100042_ 11,1,18,9.118851,45.405876,4/4/2007 4:30,0
